Brain Region,ENSG,logFC,AveExpr,p-value,Gene Name,Biotype,Description
BA11,ENSG00000008441,-0.236042911,6.437657265,0.028966723,NFIX,protein_coding,nuclear factor I/X (CCAAT-binding transcription factor) [Source:HGNC Symbol;Acc:7788]
BA11,ENSG00000119596,-0.236374552,7.812840744,0.001039362,YLPM1,protein_coding,YLP motif containing 1 [Source:HGNC Symbol;Acc:17798]
BA11,ENSG00000162849,-0.236851856,4.674762333,0.010458195,KIF26B,protein_coding,kinesin family member 26B [Source:HGNC Symbol;Acc:25484]
BA11,ENSG00000079102,-0.237550083,6.364747094,0.016056196,RUNX1T1,protein_coding,"runt-related transcription factor 1; translocated to, 1 (cyclin D-related) [Source:HGNC Symbol;Acc:1535]"
BA11,ENSG00000105698,-0.237611162,5.832896627,0.014008958,USF2,protein_coding,"upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:12594]"
BA11,ENSG00000258399,-0.238000084,5.204494349,0.036352958,MEG8,lincRNA,maternally expressed 8 (non-protein coding) [Source:HGNC Symbol;Acc:14574]
BA11,ENSG00000101040,-0.238146451,6.870872617,0.003004373,ZMYND8,protein_coding,"zinc finger, MYND-type containing 8 [Source:HGNC Symbol;Acc:9397]"
BA11,ENSG00000188785,-0.239806434,4.021069907,0.005568704,ZNF548,protein_coding,zinc finger protein 548 [Source:HGNC Symbol;Acc:26561]
BA11,ENSG00000167723,-0.239811085,3.45354284,0.042879751,TRPV3,protein_coding,"transient receptor potential cation channel, subfamily V, member 3 [Source:HGNC Symbol;Acc:18084]"
BA11,ENSG00000167257,-0.239902493,5.055636806,0.003581792,RNF214,protein_coding,ring finger protein 214 [Source:HGNC Symbol;Acc:25335]
BA11,ENSG00000148143,-0.240106222,6.305857319,0.009791043,ZNF462,protein_coding,zinc finger protein 462 [Source:HGNC Symbol;Acc:21684]
BA11,ENSG00000106266,-0.240147848,3.318941626,0.018265737,SNX8,protein_coding,sorting nexin 8 [Source:HGNC Symbol;Acc:14972]
BA11,ENSG00000157216,-0.240545742,5.827278451,0.018414115,SSBP3,protein_coding,single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:15674]
BA11,ENSG00000157933,-0.241384453,5.582005338,0.036893695,SKI,protein_coding,v-ski avian sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:10896]
BA11,ENSG00000120549,-0.242028905,6.307516938,0.013726781,KIAA1217,protein_coding,KIAA1217 [Source:HGNC Symbol;Acc:25428]
BA11,ENSG00000263878,-0.242556256,4.545724337,0.015031158,DLGAP1-AS4,antisense,DLGAP1 antisense RNA 4 [Source:HGNC Symbol;Acc:44333]
BA11,ENSG00000124228,-0.2432646,5.22977417,0.004972443,DDX27,protein_coding,DEAD (Asp-Glu-Ala-Asp) box polypeptide 27 [Source:HGNC Symbol;Acc:15837]
BA11,ENSG00000146083,-0.243659031,4.131889747,0.047661787,RNF44,protein_coding,ring finger protein 44 [Source:HGNC Symbol;Acc:19180]
BA11,ENSG00000104936,-0.243994936,3.283419017,0.04282635,DMPK,protein_coding,dystrophia myotonica-protein kinase [Source:HGNC Symbol;Acc:2933]
BA11,ENSG00000196182,-0.244417371,4.16631469,0.00848893,STK40,protein_coding,serine/threonine kinase 40 [Source:HGNC Symbol;Acc:21373]
BA11,ENSG00000167971,-0.244549396,5.384515846,0.026953616,CASKIN1,protein_coding,CASK interacting protein 1 [Source:HGNC Symbol;Acc:20879]
BA11,ENSG00000105323,-0.244580526,6.007849808,0.009819976,HNRNPUL1,protein_coding,heterogeneous nuclear ribonucleoprotein U-like 1 [Source:HGNC Symbol;Acc:17011]
BA11,ENSG00000166888,-0.245415829,4.725537354,0.004921204,STAT6,protein_coding,"signal transducer and activator of transcription 6, interleukin-4 induced [Source:HGNC Symbol;Acc:11368]"
BA11,ENSG00000197183,-0.246226413,5.21154682,0.013934576,C20orf112,protein_coding,chromosome 20 open reading frame 112 [Source:HGNC Symbol;Acc:16106]
BA11,ENSG00000125351,-0.24631715,4.348577741,0.019805961,UPF3B,protein_coding,UPF3 regulator of nonsense transcripts homolog B (yeast) [Source:HGNC Symbol;Acc:20439]
BA11,ENSG00000160207,-0.246572654,1.783280879,0.049904816,HSF2BP,protein_coding,heat shock transcription factor 2 binding protein [Source:HGNC Symbol;Acc:5226]
BA11,ENSG00000159840,-0.247464969,3.831979171,0.040433143,ZYX,protein_coding,zyxin [Source:HGNC Symbol;Acc:13200]
BA11,ENSG00000168056,-0.24746989,4.709449994,0.027174725,LTBP3,protein_coding,latent transforming growth factor beta binding protein 3 [Source:HGNC Symbol;Acc:6716]
BA11,ENSG00000116254,-0.24748982,8.256207091,0.023937531,CHD5,protein_coding,chromodomain helicase DNA binding protein 5 [Source:HGNC Symbol;Acc:16816]
BA11,ENSG00000169221,-0.247768659,4.410418113,0.018611772,TBC1D10B,protein_coding,"TBC1 domain family, member 10B [Source:HGNC Symbol;Acc:24510]"
BA11,ENSG00000146067,-0.249423899,4.509563596,0.019410511,FAM193B,protein_coding,"family with sequence similarity 193, member B [Source:HGNC Symbol;Acc:25524]"
BA11,ENSG00000143294,-0.249436961,4.501675918,0.013040049,PRCC,protein_coding,papillary renal cell carcinoma (translocation-associated) [Source:HGNC Symbol;Acc:9343]
BA11,ENSG00000106244,-0.249870778,5.67172366,0.001095961,PDAP1,protein_coding,PDGFA associated protein 1 [Source:HGNC Symbol;Acc:14634]
BA11,ENSG00000148120,-0.250145661,5.937891798,0.003479084,C9orf3,protein_coding,chromosome 9 open reading frame 3 [Source:HGNC Symbol;Acc:1361]
BA11,ENSG00000231074,-0.250919675,6.901246176,0.013101308,HCG18,antisense,HLA complex group 18 (non-protein coding) [Source:HGNC Symbol;Acc:31337]
BA11,ENSG00000130699,-0.250928344,3.593720764,0.024004959,TAF4,protein_coding,"TAF4 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 135kDa [Source:HGNC Symbol;Acc:11537]"
BA11,ENSG00000112137,-0.252082877,7.529620801,0.008185395,PHACTR1,protein_coding,phosphatase and actin regulator 1 [Source:HGNC Symbol;Acc:20990]
BA11,ENSG00000154556,-0.252197735,7.366488951,0.002000969,SORBS2,protein_coding,sorbin and SH3 domain containing 2 [Source:HGNC Symbol;Acc:24098]
BA11,ENSG00000077782,-0.252263214,5.421843314,0.018664461,FGFR1,protein_coding,fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:3688]
BA11,ENSG00000273274,-0.253004694,3.034881962,0.036241408,ZBTB8B,protein_coding,zinc finger and BTB domain containing 8B [Source:HGNC Symbol;Acc:37057]
BA11,ENSG00000141837,-0.25356317,6.815428535,0.029157756,CACNA1A,protein_coding,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit [Source:HGNC Symbol;Acc:1388]"
BA11,ENSG00000112658,-0.253597019,4.184833307,0.004857519,SRF,protein_coding,serum response factor (c-fos serum response element-binding transcription factor) [Source:HGNC Symbol;Acc:11291]
BA11,ENSG00000007047,-0.253637285,4.821658946,0.017085231,MARK4,protein_coding,MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538]
BA11,ENSG00000071859,-0.253995186,4.799893617,0.001936541,FAM50A,protein_coding,"family with sequence similarity 50, member A [Source:HGNC Symbol;Acc:18786]"
BA11,ENSG00000085872,-0.254069808,3.171141086,0.040601311,CHERP,protein_coding,calcium homeostasis endoplasmic reticulum protein [Source:HGNC Symbol;Acc:16930]
BA11,ENSG00000173227,-0.254354437,4.598740009,0.025500087,SYT12,protein_coding,synaptotagmin XII [Source:HGNC Symbol;Acc:18381]
BA11,ENSG00000160613,-0.25451388,5.185614584,0.016280641,PCSK7,protein_coding,proprotein convertase subtilisin/kexin type 7 [Source:HGNC Symbol;Acc:8748]
BA11,ENSG00000110076,-0.254693945,6.427082657,0.016655435,NRXN2,protein_coding,neurexin 2 [Source:HGNC Symbol;Acc:8009]
BA11,ENSG00000141456,-0.255118144,3.877409194,0.02335323,PELP1,protein_coding,"proline, glutamate and leucine rich protein 1 [Source:HGNC Symbol;Acc:30134]"
BA11,ENSG00000005339,-0.255200663,6.875915442,0.010696911,CREBBP,protein_coding,CREB binding protein [Source:HGNC Symbol;Acc:2348]
BA11,ENSG00000267002,-0.255202782,2.232321422,0.025890196,RP11-242D8.1,lincRNA,
BA11,ENSG00000144134,-0.255401144,2.550973745,0.031197442,RABL2A,protein_coding,"RAB, member of RAS oncogene family-like 2A [Source:HGNC Symbol;Acc:9799]"
BA11,ENSG00000160392,-0.255440723,2.970019588,0.026973196,C19orf47,protein_coding,chromosome 19 open reading frame 47 [Source:HGNC Symbol;Acc:26723]
BA11,ENSG00000164405,-0.256593121,5.832196698,0.018796634,UQCRQ,protein_coding,"ubiquinol-cytochrome c reductase, complex III subunit VII, 9.5kDa [Source:HGNC Symbol;Acc:29594]"
BA11,ENSG00000108292,-0.257331468,6.60019722,0.013070974,MLLT6,protein_coding,"myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 6 [Source:HGNC Symbol;Acc:7138]"
BA11,ENSG00000204576,-0.257372586,3.161921204,0.011443557,PRR3,protein_coding,proline rich 3 [Source:HGNC Symbol;Acc:21149]
BA11,ENSG00000156304,-0.258110632,4.729098656,0.011202362,SCAF4,protein_coding,SR-related CTD-associated factor 4 [Source:HGNC Symbol;Acc:19304]
BA11,ENSG00000255103,-0.25839564,4.323985246,0.014542256,KIAA0754,protein_coding,KIAA0754 [Source:HGNC Symbol;Acc:29111]
BA11,ENSG00000226381,-0.259513256,2.646180429,0.032170632,RP11-119F19.2,antisense,
BA11,ENSG00000179943,-0.259555583,2.432439106,0.02468318,FIZ1,protein_coding,FLT3-interacting zinc finger 1 [Source:HGNC Symbol;Acc:25917]
BA11,ENSG00000204138,-0.259752152,4.436415855,0.018246792,PHACTR4,protein_coding,phosphatase and actin regulator 4 [Source:HGNC Symbol;Acc:25793]
BA11,ENSG00000137337,-0.260255174,4.806928215,0.012060136,MDC1,protein_coding,mediator of DNA-damage checkpoint 1 [Source:HGNC Symbol;Acc:21163]
BA11,ENSG00000017373,-0.260693108,5.875551199,0.012879679,SRCIN1,protein_coding,SRC kinase signaling inhibitor 1 [Source:HGNC Symbol;Acc:29506]
BA11,ENSG00000205937,-0.26073789,6.189391386,0.006225006,RNPS1,protein_coding,"RNA binding protein S1, serine-rich domain [Source:HGNC Symbol;Acc:10080]"
BA11,ENSG00000158545,-0.260766029,4.40795901,0.004009805,ZC3H18,protein_coding,zinc finger CCCH-type containing 18 [Source:HGNC Symbol;Acc:25091]
BA11,ENSG00000146776,-0.260822645,4.523106189,0.009570207,ATXN7L1,protein_coding,ataxin 7-like 1 [Source:HGNC Symbol;Acc:22210]
BA11,ENSG00000160877,-0.260903256,4.961505283,0.042522668,NACC1,protein_coding,"nucleus accumbens associated 1, BEN and BTB (POZ) domain containing [Source:HGNC Symbol;Acc:20967]"
BA11,ENSG00000172476,-0.261291523,2.313265728,0.029715689,RAB40A,protein_coding,"RAB40A, member RAS oncogene family [Source:HGNC Symbol;Acc:18283]"
BA11,ENSG00000197136,-0.261557754,3.999488023,0.036275837,PCNXL3,protein_coding,pecanex-like 3 (Drosophila) [Source:HGNC Symbol;Acc:18760]
BA11,ENSG00000130175,-0.261820206,5.178275073,0.019602495,PRKCSH,protein_coding,protein kinase C substrate 80K-H [Source:HGNC Symbol;Acc:9411]
BA11,ENSG00000102858,-0.261840425,5.061823199,0.034345108,MGRN1,protein_coding,"mahogunin ring finger 1, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:20254]"
BA11,ENSG00000179965,-0.262070615,2.791526882,0.011561237,ZNF771,protein_coding,zinc finger protein 771 [Source:HGNC Symbol;Acc:29653]
BA11,ENSG00000197119,-0.262076367,4.308412228,0.026012928,SLC25A29,protein_coding,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29 [Source:HGNC Symbol;Acc:20116]"
BA11,ENSG00000087258,-0.262567509,7.869384204,0.020282508,GNAO1,protein_coding,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O [Source:HGNC Symbol;Acc:4389]"
BA11,ENSG00000267254,-0.263075386,2.290768253,0.024397082,CTD-2162K18.5,antisense,
BA11,ENSG00000239455,-0.263189947,2.614520314,0.046660097,RP11-561O4.1,pseudogene,
BA11,ENSG00000270018,-0.2632077,1.692286241,0.048729003,RP3-462E2.5,lincRNA,
BA11,ENSG00000158089,-0.264038552,3.34706591,0.014831195,GALNT14,protein_coding,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14) [Source:HGNC Symbol;Acc:22946]
BA11,ENSG00000184205,-0.265331618,8.485994911,0.012541715,TSPYL2,protein_coding,TSPY-like 2 [Source:HGNC Symbol;Acc:24358]
BA11,ENSG00000080603,-0.265466664,6.013904272,0.017767396,SRCAP,protein_coding,Snf2-related CREBBP activator protein [Source:HGNC Symbol;Acc:16974]
BA11,ENSG00000136295,-0.265614867,4.427233836,0.048927854,TTYH3,protein_coding,tweety family member 3 [Source:HGNC Symbol;Acc:22222]
BA11,ENSG00000233369,-0.265747937,2.071101399,0.048144881,RP11-396K3.1,pseudogene,
BA11,ENSG00000117154,-0.265979947,4.591991958,0.03107984,IGSF21,protein_coding,"immunoglobin superfamily, member 21 [Source:HGNC Symbol;Acc:28246]"
BA11,ENSG00000270607,-0.266207875,2.348017833,0.048286661,RP11-359E10.1,lincRNA,
BA11,ENSG00000123411,-0.266235759,3.104533442,0.033403395,IKZF4,protein_coding,IKAROS family zinc finger 4 (Eos) [Source:HGNC Symbol;Acc:13179]
BA11,ENSG00000100345,-0.266933435,7.001959157,0.00149471,MYH9,protein_coding,"myosin, heavy chain 9, non-muscle [Source:HGNC Symbol;Acc:7579]"
BA11,ENSG00000138162,-0.26697303,5.360296187,0.024054482,TACC2,protein_coding,"transforming, acidic coiled-coil containing protein 2 [Source:HGNC Symbol;Acc:11523]"
BA11,ENSG00000167996,-0.267140749,8.888521474,0.026093378,FTH1,protein_coding,"ferritin, heavy polypeptide 1 [Source:HGNC Symbol;Acc:3976]"
BA11,ENSG00000125386,-0.268190935,5.513033734,0.004248108,FAM193A,protein_coding,"family with sequence similarity 193, member A [Source:HGNC Symbol;Acc:16822]"
BA11,ENSG00000182095,-0.268633529,5.178552142,0.023361837,TNRC18,protein_coding,trinucleotide repeat containing 18 [Source:HGNC Symbol;Acc:11962]
BA11,ENSG00000163945,-0.268817397,3.264419518,0.02705432,UVSSA,protein_coding,UV-stimulated scaffold protein A [Source:HGNC Symbol;Acc:29304]
BA11,ENSG00000127922,-0.26891669,4.713854813,0.022241089,SHFM1,protein_coding,split hand/foot malformation (ectrodactyly) type 1 [Source:HGNC Symbol;Acc:10845]
BA11,ENSG00000254615,-0.269500808,3.876288378,0.02511861,RP11-395G23.3,lincRNA,
BA11,ENSG00000171282,-0.269961537,3.605424131,0.034677908,RP11-1055B8.7,protein_coding,BAH and coiled-coil domain-containing protein 1  [Source:RefSeq peptide;Acc:NP_001073988]
BA11,ENSG00000143429,-0.270417787,4.346118906,0.024668769,AC027612.6,pseudogene,
BA11,ENSG00000130522,-0.27087517,5.252434848,0.031490253,JUND,protein_coding,jun D proto-oncogene [Source:HGNC Symbol;Acc:6206]
BA11,ENSG00000127452,-0.271096007,2.293259485,0.030908158,FBXL12,protein_coding,F-box and leucine-rich repeat protein 12 [Source:HGNC Symbol;Acc:13611]
BA11,ENSG00000261675,-0.271410675,4.431462811,0.025860459,RP5-1119A7.17,sense_overlapping,
BA11,ENSG00000006283,-0.271905731,4.848980536,0.037660558,CACNA1G,protein_coding,"calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]"
BA11,ENSG00000087087,-0.272468246,4.937575047,0.010601211,SRRT,protein_coding,serrate RNA effector molecule homolog (Arabidopsis) [Source:HGNC Symbol;Acc:24101]
BA11,ENSG00000118898,-0.272547784,5.445222075,0.02423342,PPL,protein_coding,periplakin [Source:HGNC Symbol;Acc:9273]
BA11,ENSG00000117713,-0.272629699,6.196411027,0.013114699,ARID1A,protein_coding,AT rich interactive domain 1A (SWI-like) [Source:HGNC Symbol;Acc:11110]
BA11,ENSG00000116731,-0.272911299,7.522587,0.006566176,PRDM2,protein_coding,"PR domain containing 2, with ZNF domain [Source:HGNC Symbol;Acc:9347]"
BA11,ENSG00000108175,-0.272918819,5.707036336,0.048610316,ZMIZ1,protein_coding,"zinc finger, MIZ-type containing 1 [Source:HGNC Symbol;Acc:16493]"
BA11,ENSG00000259994,-0.273450482,2.965554246,0.011613744,RP11-305E6.4,sense_overlapping,
BA11,ENSG00000203867,-0.273628013,2.145994824,0.049724696,RBM20,protein_coding,RNA binding motif protein 20 [Source:HGNC Symbol;Acc:27424]
BA11,ENSG00000132478,-0.273749032,3.630420814,0.006295221,UNK,protein_coding,unkempt family zinc finger [Source:HGNC Symbol;Acc:29369]
BA11,ENSG00000103460,-0.273756183,2.885288045,0.038573375,TOX3,protein_coding,TOX high mobility group box family member 3 [Source:HGNC Symbol;Acc:11972]
BA11,ENSG00000148985,-0.273987304,2.774943755,0.01942201,PGAP2,protein_coding,post-GPI attachment to proteins 2 [Source:HGNC Symbol;Acc:17893]
BA11,ENSG00000136274,-0.27403723,4.445192237,0.034827364,NACAD,protein_coding,NAC alpha domain containing [Source:HGNC Symbol;Acc:22196]
BA11,ENSG00000130844,-0.275399084,5.632311582,0.012206121,ZNF331,protein_coding,zinc finger protein 331 [Source:HGNC Symbol;Acc:15489]
BA11,ENSG00000160633,-0.275478812,6.23243207,0.0058269,SAFB,protein_coding,scaffold attachment factor B [Source:HGNC Symbol;Acc:10520]
BA11,ENSG00000148337,-0.275627364,5.860354935,0.018810985,CIZ1,protein_coding,CDKN1A interacting zinc finger protein 1 [Source:HGNC Symbol;Acc:16744]
BA11,ENSG00000131831,-0.276133891,2.329066932,0.017716429,RAI2,protein_coding,retinoic acid induced 2 [Source:HGNC Symbol;Acc:9835]
BA11,ENSG00000159335,-0.276489761,5.38941946,0.007559452,PTMS,protein_coding,parathymosin [Source:HGNC Symbol;Acc:9629]
BA11,ENSG00000119574,-0.277672524,1.775362722,0.034828492,ZBTB45,protein_coding,zinc finger and BTB domain containing 45 [Source:HGNC Symbol;Acc:23715]
BA11,ENSG00000160094,-0.277854421,3.50574752,0.008220992,ZNF362,protein_coding,zinc finger protein 362 [Source:HGNC Symbol;Acc:18079]
BA11,ENSG00000153815,-0.278005287,6.183734825,0.036307926,CMIP,protein_coding,c-Maf inducing protein [Source:HGNC Symbol;Acc:24319]
BA11,ENSG00000197177,-0.278153432,4.376122294,0.031679667,GPR123,protein_coding,G protein-coupled receptor 123 [Source:HGNC Symbol;Acc:13838]
BA11,ENSG00000248333,-0.278560497,3.068964458,0.005230014,CDK11B,protein_coding,cyclin-dependent kinase 11B [Source:HGNC Symbol;Acc:1729]
BA11,ENSG00000185163,-0.280119249,4.142552451,0.005593673,DDX51,protein_coding,DEAD (Asp-Glu-Ala-Asp) box polypeptide 51 [Source:HGNC Symbol;Acc:20082]
BA11,ENSG00000065357,-0.280369341,4.631634932,0.011899384,DGKA,protein_coding,"diacylglycerol kinase, alpha 80kDa [Source:HGNC Symbol;Acc:2849]"
BA11,ENSG00000125971,-0.281272994,6.434680515,0.049693223,DYNLRB1,protein_coding,"dynein, light chain, roadblock-type 1 [Source:HGNC Symbol;Acc:15468]"
BA11,ENSG00000172534,-0.281374112,5.448815928,0.02484752,HCFC1,protein_coding,host cell factor C1 (VP16-accessory protein) [Source:HGNC Symbol;Acc:4839]
BA11,ENSG00000196338,-0.281476939,5.68543735,0.01148044,NLGN3,protein_coding,neuroligin 3 [Source:HGNC Symbol;Acc:14289]
BA11,ENSG00000243753,-0.281899105,3.289585998,0.033955353,HLA-L,pseudogene,"major histocompatibility complex, class I, L (pseudogene) [Source:HGNC Symbol;Acc:4970]"
BA11,ENSG00000149503,-0.282174905,4.234824725,0.014008533,INCENP,protein_coding,inner centromere protein antigens 135/155kDa [Source:HGNC Symbol;Acc:6058]
BA11,ENSG00000260114,-0.282264239,2.245314933,0.031354921,CTD-2574D22.4,sense_intronic,
BA11,ENSG00000240809,-0.282307096,3.228280361,0.03458588,RP11-550F7.1,pseudogene,
BA11,ENSG00000198369,-0.282312877,5.653460962,0.002121304,SPRED2,protein_coding,"sprouty-related, EVH1 domain containing 2 [Source:HGNC Symbol;Acc:17722]"
BA11,ENSG00000140905,-0.282620324,1.929747439,0.024393034,GCSH,protein_coding,glycine cleavage system protein H (aminomethyl carrier) [Source:HGNC Symbol;Acc:4208]
BA11,ENSG00000141867,-0.28298246,5.656142966,0.013768431,BRD4,protein_coding,bromodomain containing 4 [Source:HGNC Symbol;Acc:13575]
BA11,ENSG00000204256,-0.284175445,6.895068783,0.00021607,BRD2,protein_coding,bromodomain containing 2 [Source:HGNC Symbol;Acc:1103]
BA11,ENSG00000132613,-0.285933478,6.481164256,0.026896138,MTSS1L,protein_coding,metastasis suppressor 1-like [Source:HGNC Symbol;Acc:25094]
BA11,ENSG00000147246,-0.285978916,3.438087931,0.034537454,HTR2C,protein_coding,"5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled [Source:HGNC Symbol;Acc:5295]"
BA11,ENSG00000129990,-0.286503689,5.408077794,0.017580832,SYT5,protein_coding,synaptotagmin V [Source:HGNC Symbol;Acc:11513]
BA11,ENSG00000254838,-0.287843975,3.880463487,0.017492951,GVINP1,pseudogene,"GTPase, very large interferon inducible pseudogene 1 [Source:HGNC Symbol;Acc:25813]"
BA11,ENSG00000168066,-0.289712052,6.229816977,0.00109161,SF1,protein_coding,splicing factor 1 [Source:HGNC Symbol;Acc:12950]
BA11,ENSG00000188803,-0.289933202,3.56004253,0.008899944,SHISA6,protein_coding,shisa family member 6 [Source:HGNC Symbol;Acc:34491]
BA11,ENSG00000141252,-0.290199414,7.218017903,0.003824309,VPS53,protein_coding,vacuolar protein sorting 53 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25608]
BA11,ENSG00000170382,-0.290391412,3.661499418,0.034051521,LRRN2,protein_coding,leucine rich repeat neuronal 2 [Source:HGNC Symbol;Acc:16914]
BA11,ENSG00000066827,-0.290581159,4.478821243,0.036138138,ZFAT,protein_coding,zinc finger and AT hook domain containing [Source:HGNC Symbol;Acc:19899]
BA11,ENSG00000253553,-0.290946486,2.827107556,0.023310964,RP11-586K2.1,antisense,
BA11,ENSG00000070444,-0.291457425,4.179758081,0.017906304,MNT,protein_coding,MAX network transcriptional repressor [Source:HGNC Symbol;Acc:7188]
BA11,ENSG00000080845,-0.291700602,5.592241377,0.044329918,DLGAP4,protein_coding,"discs, large (Drosophila) homolog-associated protein 4 [Source:HGNC Symbol;Acc:24476]"
BA11,ENSG00000072062,-0.291963257,5.174687323,0.037518285,PRKACA,protein_coding,"protein kinase, cAMP-dependent, catalytic, alpha [Source:HGNC Symbol;Acc:9380]"
BA11,ENSG00000166897,-0.292715611,5.072239499,0.037839651,ELFN2,protein_coding,extracellular leucine-rich repeat and fibronectin type III domain containing 2 [Source:HGNC Symbol;Acc:29396]
BA11,ENSG00000214982,-0.292742189,3.867462043,0.01434893,PARGP1,pseudogene,poly (ADP-ribose) glycohydrolase pseudogene 1 [Source:HGNC Symbol;Acc:45008]
BA11,ENSG00000246596,-0.293446359,2.921538917,0.013470284,RP11-1277A3.2,pseudogene,
BA11,ENSG00000168453,-0.293892161,4.322713061,0.019439352,HR,protein_coding,hair growth associated [Source:HGNC Symbol;Acc:5172]
BA11,ENSG00000163873,-0.293900072,6.360224998,0.006361722,GRIK3,protein_coding,"glutamate receptor, ionotropic, kainate 3 [Source:HGNC Symbol;Acc:4581]"
BA11,ENSG00000165271,-0.294189566,4.369241822,0.000495106,NOL6,protein_coding,nucleolar protein 6 (RNA-associated) [Source:HGNC Symbol;Acc:19910]
BA11,ENSG00000108557,-0.295045008,4.687341831,0.047992904,RAI1,protein_coding,retinoic acid induced 1 [Source:HGNC Symbol;Acc:9834]
BA11,ENSG00000177732,-0.295293222,2.571469564,0.039702927,SOX12,protein_coding,SRY (sex determining region Y)-box 12 [Source:HGNC Symbol;Acc:11198]
BA11,ENSG00000129347,-0.295887544,3.333440308,0.034504931,KRI1,protein_coding,KRI1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:25769]
BA11,ENSG00000167548,-0.296501414,6.725450354,0.014195859,KMT2D,protein_coding,lysine (K)-specific methyltransferase 2D [Source:HGNC Symbol;Acc:7133]
BA11,ENSG00000159409,-0.297932882,5.232749387,0.048786843,CELF3,protein_coding,"CUGBP, Elav-like family member 3 [Source:HGNC Symbol;Acc:11967]"
BA11,ENSG00000186111,-0.299048235,5.441385276,0.024415264,PIP5K1C,protein_coding,"phosphatidylinositol-4-phosphate 5-kinase, type I, gamma [Source:HGNC Symbol;Acc:8996]"
BA11,ENSG00000187902,-0.300070769,4.425169268,0.043839208,SHISA7,protein_coding,shisa family member 7 [Source:HGNC Symbol;Acc:35409]
BA11,ENSG00000167962,-0.300336603,2.548155013,0.014899146,ZNF598,protein_coding,zinc finger protein 598 [Source:HGNC Symbol;Acc:28079]
BA11,ENSG00000227388,-0.300409641,1.635159104,0.049712196,RP11-112J3.16,lincRNA,
BA11,ENSG00000100941,-0.301457336,6.574660082,0.011352405,PNN,protein_coding,"pinin, desmosome associated protein [Source:HGNC Symbol;Acc:9162]"
BA11,ENSG00000006210,-0.302089348,5.387599821,0.032017597,CX3CL1,protein_coding,chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:10647]
BA11,ENSG00000116544,-0.302212911,5.179395632,0.03813943,DLGAP3,protein_coding,"discs, large (Drosophila) homolog-associated protein 3 [Source:HGNC Symbol;Acc:30368]"
BA11,ENSG00000161970,-0.302805372,5.668424938,0.049274131,RPL26,protein_coding,ribosomal protein L26 [Source:HGNC Symbol;Acc:10327]
BA11,ENSG00000105738,-0.30325414,4.445110504,0.012270316,SIPA1L3,protein_coding,signal-induced proliferation-associated 1 like 3 [Source:HGNC Symbol;Acc:23801]
BA11,ENSG00000204673,-0.303462621,2.816185574,0.013413695,AKT1S1,protein_coding,AKT1 substrate 1 (proline-rich) [Source:HGNC Symbol;Acc:28426]
BA11,ENSG00000105649,-0.304035679,6.218750791,0.033909054,RAB3A,protein_coding,"RAB3A, member RAS oncogene family [Source:HGNC Symbol;Acc:9777]"
BA11,ENSG00000196313,-0.304126027,4.35617673,0.003384878,POM121,protein_coding,POM121 transmembrane nucleoporin [Source:HGNC Symbol;Acc:19702]
BA11,ENSG00000075461,-0.304157156,2.552696646,0.028164944,CACNG4,protein_coding,"calcium channel, voltage-dependent, gamma subunit 4 [Source:HGNC Symbol;Acc:1408]"
BA11,ENSG00000088247,-0.304279258,5.530483422,0.002724936,KHSRP,protein_coding,KH-type splicing regulatory protein [Source:HGNC Symbol;Acc:6316]
BA11,ENSG00000196498,-0.30490952,6.430350657,0.002139346,NCOR2,protein_coding,nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:7673]
BA11,ENSG00000203727,-0.304987647,3.800186349,0.001158159,SAMD5,protein_coding,sterile alpha motif domain containing 5 [Source:HGNC Symbol;Acc:21180]
BA11,ENSG00000071894,-0.30525009,4.315561839,0.017138276,CPSF1,protein_coding,"cleavage and polyadenylation specific factor 1, 160kDa [Source:HGNC Symbol;Acc:2324]"
BA11,ENSG00000198563,-0.306596098,4.409806511,0.007987176,DDX39B,protein_coding,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B [Source:HGNC Symbol;Acc:13917]
BA11,ENSG00000167523,-0.307244072,3.037065177,0.008832339,SPATA33,protein_coding,spermatogenesis associated 33 [Source:HGNC Symbol;Acc:26463]
